Player,Team,threep,threes
Troy Daniels,Grizzlies,0.389,71.11
Caris LeVert,Nets,0.324,47.89
Willie Cauley-Stein,Kings,0,0.42
Willy Hernangomez,Knicks,0.267,3.23
Ben McLemore,Kings,0.383,39.95
Al Jefferson,Pacers,0,0.21
Tristan Thompson,Cavaliers,0,0.46
Vince Carter,Grizzlies,0.382,59.92
Alex Len,Suns,0.3,2.16
Langston Galloway,Kings,0.391,55.88
D.J. Augustin,Magic,0.353,52.03
Shelvin Mack,Jazz,0.308,31.41
Rajon Rondo,Bulls,0.379,23.53
Sergio Rodriguez,76ers,0.363,46.92
Garrett Temple,Kings,0.371,51.16
Justin Holiday,Knicks,0.359,50.19
Luol Deng,Lakers,0.321,37.5
Matthew Dellavedova,Bucks,0.361,40.53
Andre Iguodala,Warriors,0.366,42.27
Manu Ginobili,Spurs,0.399,50.8
Ivica Zubac,Lakers,0,0.84
Iman Shumpert,Cavaliers,0.356,53.48
Isaiah Whitehead,Nets,0.303,28.66
Timofey Mozgov,Lakers,0,0.3
Alan Williams,Suns,0,0
Spencer Dinwiddie,Nets,0.374,32.57
Archie Goodwin,Nets,0.357,21.21
Danny Green,Spurs,0.383,68.75
David Lee,Spurs,0,0
Tyler Ulis,Suns,0.288,16.67
Rodney Stuckey,Pacers,0.316,23.46
Thabo Sefolosha,Hawks,0.347,30.18
Larry Nance Jr.,Lakers,0.303,9.09
Tim Frazier,Pelicans,0.313,31.68
Brandon Jennings,Wizards,0.317,46.63
Matt Barnes,Warriors,0.331,54.97
Joe Ingles,Jazz,0.442,61.64
Anthony Tolliver,Kings,0.392,65.04
Justin Anderson,76ers,0.304,43.81
Solomon Hill,Pelicans,0.353,56.12
Josh Huestis,Thunder,0.5,36.36
Justin Hamilton,Nets,0.301,48.16
TJ McConnell,76ers,0.196,10
Patrick Patterson,Raptors,0.369,65.63
Ian Clark,Warriors,0.381,36.95
Bobby Portis,Bulls,0.337,25.33
Jared Dudley,Suns,0.381,58.55
